ax,Naam,Park,Fabrikant,Operatief,Punten P,Punten F
84,Max & Moritz,Efteling,Mack Rides,1,0,0
85,Robin Hood,Walibi Holland,Vekoma,0,0,0
86,Formula,Energylandia,Vekoma,1,0,0
87,Dæmonen,Tivoli Gardens,B&M,1,0,0
88,Alpenexpress Enzian,Europa Park,Mack Rides,1,0,0
89,Mammut,Erlebnispark Tripsdrill,Zierer,1,0,0
90,Movie Park Studio Tour,Movie Park Germany,Vekoma,1,0,0
91,Raik,Phantasialand,Vekoma,1,0,0
92,Volldampf,Erlebnispark Tripsdrill,Vekoma,1,0,0
93,Boomerang,Energylandia,Vekoma,1,0,0
94,Cobra,Walibi Belgium,Vekoma,1,0,0
95,Bobbahn,Heide Park Resort,Mack Rides,1,0,0
96,Psyké Underground,Walibi Belgium,Gerstlauer,1,0,0
97,El Diablo - Tren de la Mina,PortAventura Park,Arrow,1,0,0
98,Mayan,Energylandia,Vekoma,1,0,0
99,Condor,Walibi Holland,Vekoma,1,0,0
100,Limit,Heide Park Resort,Vekoma,1,0,0
101,MP Xpress,Movie Park Germany,Vekoma,1,0,0
102,Tomahawk,PortAventura Park,CCI,1,0,0
103,Rioolrat,Avonturenpark Hellendoorn,Vekoma,1,0,0
104,Naga Bay,Bobbejaanland,Mauer Rides,1,0,0
105,Bandit,Movie Park Germany,RCCA,1,0,0
106,Light Explorers,Energylandia,Vekoma,1,0,0
107,Crazy Mine,Hansa-Park,Mauer Rides,1,0,0
108,Ghost Chasers,Movie Park Germany,Mack Rides,1,0,0
109,Mine Train,Slagharen Themepark & Resort,Vekoma,1,0,0
110,Jul's RollerSkates,Julianatoren,Vekoma,1,0,0
111,Royal Scotsman,Hansa-Park,Vekoma,1,0,0
112,Donderstenen,Avonturenpark Hellendoorn,Zierer,1,0,0
113,Grottenblitz,Heide Park Resort,Mack Rides,1,0,0
114,Indy-Blitz,Heide Park Resort,Zierer,1,0,0
115,Familieachtbaan,BillyBird Hemelrijk,ABC Rides,1,0,0
116,Rasender Tausendfüßler,Erlebnispark Tripsdrill,Zierer,1,0,0
117,Fun Pilot,Walibi Belgium,Zamperla,1,0,0
118,Tami-Tami,PortAventura Park,Vekoma,1,0,0
119,Ba-a-a Express,Europa Park,Mack Rides,1,0,0
120,Frida,Energylandia,Vekoma,1,0,0
121,Drako,Walibi Holland,Zierer,1,0,0
122,Achterbahn,Wunderland Kalkar,Zamperla,1,0,0
123,Junior Red Force,Ferrari Land,SBF Visa,1,0,0
124,Energuś,Energylandia,Vekoma,1,0,0
125,Draak,Plopsaland De Panne,Mack Rides,1,0,0
126,Bob Express,Bobbejaanland,Mack Rides,1,0,0
127,Oki Doki,Bobbejaanland,Vekoma,1,0,0
128,Kleine Zar,Hansa-Park,Preston & Bareiri,1,0,0
129,Volare,Wiener Prater,Zamperla,1,0,0
130,Viking Roller Coaster,Energylandia,SBF Visa,1,0,0
131,Pegasus,Europa Park,Mack Rides,1,0,0
